t,E,Ux,U0,Ug,Pg,Uk,Pk,TQ,Rs,RX_h1,Tsvp,Tgaz,T_combined,original_t,global_time,file_index,file_name
1179.77,0.1,0.0169641,0.0222939,0.12955,12.579,0.12881,12.873,1.8679430247172182e-07,90.8170098098583,90.81700980985829,2.001519853161496,1.6605301199780194,2.001519853161496,1179.77,14744.757000000001,2,1542.dat
1181.489,0.1,0.0169577,0.0222872,0.12987,12.611,0.12918,12.909,1.867381650607457e-07,90.8100387217775,90.81003872177752,2.0030852209311747,1.6648005512194548,2.0030852209311747,1181.489,14746.476,2,1542.dat
1183.208,0.1,0.0169592,0.0222885,0.13014,12.638,0.12953,12.944,1.8674905739421868e-07,90.81277430064833,90.81277430064833,2.0046056006433473,1.6684039118351957,2.0046056006433473,1183.208,14748.195,2,1542.dat
1184.927,0.1,0.0169412,0.022271,0.1304,12.664,0.12988,12.979,1.8660242982823627e-07,90.7876709622379,90.7876709622379,2.006124500597684,1.6718739740497082,2.006124500597684,1184.927,14749.914,2,1542.dat
1186.646,0.1,0.0169366,0.0222814,0.13067,12.691,0.13024,13.015,1.8668956849602012e-07,90.72065534481675,90.72065534481673,2.0076852587422858,1.675477665737125,2.0076852587422858,1186.646,14751.633,2,1542.dat
1188.367,0.1,0.0169372,0.0222806,0.13094,12.718,0.1306,13.052,1.8668286552157522e-07,90.7271267380591,90.7271267380591,2.0092877501933346,1.6790815261012404,2.0092877501933346,1188.367,14753.354000000001,2,1542.dat
1190.085,0.1,0.0169185,0.0222891,0.13119,12.743,0.13094,13.085,1.8675408462505237e-07,90.59239605906026,90.59239605906025,2.0107156172226537,1.6824185842536952,2.0107156172226537,1190.085,14755.072,2,1542.dat
1191.805,0.1,0.0169199,0.0223097,0.13145,12.769,0.13132,13.124,1.869266862170088e-07,90.51623576291928,90.51623576291927,2.0124014217363837,1.6858892781586836,2.0124014217363837,1191.805,14756.792000000001,2,1542.dat
1193.523,0.1,0.0169328,0.0223301,0.13171,12.795,0.13166,13.157,1.8709761206535399e-07,90.5024912561968,90.5024912561968,2.0138264589969364,1.6893601285089097,2.0138264589969364,1193.523,14758.51,2,1542.dat
1195.242,0.1,0.016906,0.0223127,0.13198,12.822,0.13202,13.194,1.8695182237117723e-07,90.42971491572065,90.42971491572064,2.0154226929816845,1.692964638701353,2.0154226929816845,1195.242,14760.229000000001,2,1542.dat
1196.961,0.1,0.0169046,0.0222961,0.13222,12.846,0.13236,13.228,1.8681273565144532e-07,90.48954794784737,90.48954794784737,2.016888076158453,1.6961687894143123,2.016888076158453,1196.961,14761.948,2,1542.dat
1198.679,0.1,0.0168964,0.0223125,0.13247,12.871,0.13272,13.264,1.8695014662756599e-07,90.37917490196078,90.37917490196078,2.01843817389403,1.6995065881850564,2.01843817389403,1198.679,14763.666000000001,2,1542.dat
1200.4,0.1,0.0169024,0.0223479,0.1327,12.894,0.13308,13.3,1.8724675324675326e-07,90.26805382161189,90.26805382161187,2.0199867494402577,1.702577490835993,2.0199867494402577,1200.4,14765.387,2,1542.dat
1202.121,0.1,0.0169002,0.0223239,0.13288,12.912,0.13347,13.338,1.8704566401340596e-07,90.35333745447703,90.35333745447703,2.0216197108068727,1.704980891378395,2.0216197108068727,1202.121,14767.108,2,1542.dat
1203.839,0.1,0.0168938,0.0223183,0.13313,12.937,0.1338,13.372,1.8699874319229158e-07,90.34178364839616,90.34178364839616,2.0230793528830406,1.7083190721267887,2.0230793528830406,1203.839,14768.826000000001,2,1542.dat
1205.56,0.1,0.0168915,0.0223483,0.13332,12.956,0.13415,13.406,1.8725010473397572e-07,90.20822724771011,90.20822724771011,2.0245376498059726,1.7108561862741882,2.0245376498059726,1205.56,14770.547,2,1542.dat
1207.279,0.1,0.0169034,0.0223538,0.13353,12.977,0.13451,13.443,1.8729618768328446e-07,90.24956785870857,90.24956785870859,2.0261230961500316,1.7136604623158378,2.0261230961500316,1207.279,14772.266,2,1542.dat
1208.998,0.1,0.0168965,0.0223562,0.13375,12.999,0.13486,13.478,1.8731629660661919e-07,90.2030432273821,90.20304322738211,2.027621385340487,1.7165983848365585,2.027621385340487,1208.998,14773.985,2,1542.dat
1210.718,0.1,0.0169007,0.0223432,0.13394,13.018,0.13523,13.515,1.8720737327188942e-07,90.27796130366286,90.27796130366286,2.029203755203783,1.7191357717538545,2.029203755203783,1210.718,14775.705,2,1542.dat
1212.436,0.1,0.0168905,0.0223437,0.13416,13.04,0.13559,13.55,1.872115626309175e-07,90.2214572787855,90.2214572787855,2.030699143137769,1.7220739031525762,2.030699143137769,1212.436,14777.423,2,1542.dat
1214.155,0.1,0.0168565,0.0223329,0.13432,13.056,0.13593,13.584,1.8712107247591117e-07,90.08338706571918,90.0833870657192,2.032150461334092,1.7242107963913196,2.032150461334092,1214.155,14779.142,2,1542.dat
1215.874,0.1,0.0168636,0.022367,0.13448,13.072,0.13627,13.619,1.8740678676162547e-07,89.98393436759511,89.98393436759511,2.033643085514313,1.7263477489198362,2.033643085514313,1215.874,14780.861,2,1542.dat
1217.595,0.1,0.0168727,0.0223552,0.13469,13.093,0.13662,13.654,1.8730791788856304e-07,90.08001471693386,90.08001471693387,2.035134313951052,1.7291525890945119,2.035134313951052,1217.595,14782.582,2,1542.dat
1219.313,0.1,0.0168735,0.0223498,0.13487,13.111,0.13699,13.69,1.872626728110599e-07,90.10605128457526,90.10605128457526,2.0366666971195864,1.7315568191151127,2.0366666971195864,1219.313,14784.300000000001,2,1542.dat
1221.033,0.1,0.0168634,0.0223534,0.13504,13.128,0.13733,13.725,1.87292836196062e-07,90.03761351740674,90.03761351740675,2.0381551068141874,1.7338275497122346,2.0381551068141874,1221.033,14786.02,2,1542.dat
1222.751,0.1,0.016873,0.0223674,0.13521,13.145,0.13769,13.76,1.8741013824884794e-07,90.032482541556,90.032482541556,2.0396421331659087,1.7360983472544893,2.0396421331659087,1222.751,14787.738000000001,2,1542.dat
1224.471,0.1,0.0168682,0.0223616,0.13539,13.163,0.13805,13.796,1.8736154168412232e-07,90.03021563752147,90.03021563752147,2.041170207056979,1.7385027940939266,2.041170207056979,1224.471,14789.458,2,1542.dat
